date,cape,market
1925-08-31,10.11091845848894,US
1925-09-30,10.3592476113485,US
1925-10-31,10.718495997022927,US
1925-11-30,10.88631744030793,US
1925-12-31,11.14736523913725,US
1926-01-31,11.340966188506233,US
1926-02-28,11.389435672748007,US
1926-03-31,10.712352062732482,US
1926-04-30,10.395587685954728,US
1926-05-31,10.575158463806096,US
1926-06-30,11.197979740229954,US
1926-07-31,11.869694058481278,US
1926-08-31,12.488808219521875,US
1926-09-30,12.692614823344718,US
1926-10-31,12.426517521583348,US
1926-11-30,12.615251212344482,US
1926-12-31,13.009052728993133,US
1927-01-31,13.185930628677792,US
1927-02-28,13.633966132216212,US
1927-03-31,14.033257507604494,US
1927-04-30,14.488222209157056,US
1927-05-31,15.002347055737118,US
1927-06-30,15.12033348174753,US
1927-07-31,15.820802594477753,US
1927-08-31,16.86286185276381,US
1927-09-30,17.818723713516423,US
1927-10-31,17.53723785226109,US
1927-11-30,18.13130143495243,US
1927-12-31,18.646624021402527,US
1928-01-31,18.80612857170077,US
1928-02-29,18.86885051958404,US
1928-03-31,19.94341779906454,US
1928-04-30,21.257909249487497,US
1928-05-31,21.83273217874003,US
1928-06-30,20.913421576866707,US
1928-07-31,21.081905435296793,US
1928-08-31,21.76213150257924,US
1928-09-30,23.004649446159235,US
1928-10-31,23.578344239585043,US
1928-11-30,25.121984571109593,US
1928-12-31,25.301591027426145,US
1929-01-31,27.083199620832772,US
1929-02-28,27.13167279824738,US
1929-03-31,27.67574843786188,US
1929-04-30,27.5684544728983,US
1929-05-31,27.698586875008132,US
1929-06-30,27.935467830288687,US
1929-07-31,29.933289406842214,US
1929-08-31,31.480313247173004,US
1929-09-30,32.5637885987767,US
1929-10-31,28.96106716435479,US
1929-11-30,21.17103600009704,US
1929-12-31,22.007373176418334,US
1930-01-31,22.310724294336847,US
1930-02-28,23.69711774933588,US
1930-03-31,24.58660779266885,US
1930-04-30,25.843436862018308,US
1930-05-31,24.309760633908166,US
1930-06-30,21.866899333389473,US
1930-07-31,21.548797592546645,US
1930-08-31,21.300602241118145,US
1930-09-30,21.07258178844731,US
1930-10-31,18.214870154658627,US
1930-11-30,16.93971137777516,US
1930-12-31,16.05500185653132,US
1931-01-31,16.705478731547604,US
1931-02-28,18.161492436976086,US
1931-03-31,18.579561032791283,US
1931-04-30,16.87231533160966,US
1931-05-31,15.401539999110106,US
1931-06-30,15.062476074643241,US
1931-07-31,15.516750095516311,US
1931-08-31,15.006276602886537,US
1931-09-30,12.81774526110688,US
1931-10-31,11.145926407660927,US
1931-11-30,11.415600295644674,US
1931-12-31,9.306032867968314,US
1932-01-31,9.312406455177843,US
1932-02-29,9.3369322510084,US
1932-03-31,9.413065028012209,US
1932-04-30,7.192233196115484,US
1932-05-31,6.390857289881442,US
1932-06-30,5.565059371528964,US
1932-07-31,5.838763671851199,US
1932-08-31,8.83465320518121,US
1932-09-30,9.761168564063706,US
1932-10-31,8.478606607689082,US
1932-11-30,8.463309567122897,US
1932-12-31,8.25707399910068,US
1933-01-31,8.728046162813529,US
1933-02-28,7.826051751316596,US
1933-03-31,7.874681322943168,US
1933-04-30,8.723101646068113,US
1933-05-31,11.249651251932447,US
1933-06-30,13.098875517269521,US
1933-07-31,13.754304493874534,US
1933-08-31,12.999527050367737,US
1933-09-30,12.922920614885996,US
1933-10-31,11.696253568143696,US
1933-11-30,12.01176619338994,US
1933-12-31,12.281801622601119,US
1934-01-31,13.02511982833238,US
1934-02-28,13.926922904274301,US
1934-03-31,13.25453762974009,US
1934-04-30,13.518389284490098,US
1934-05-31,12.181583235024027,US
1934-06-30,12.287726483952428,US
1934-07-31,11.741524229318248,US
1934-08-31,11.315025981829052,US
1934-09-30,10.909954083288849,US
1934-10-31,11.108352605351731,US
1934-11-30,11.448808690205704,US
1934-12-31,11.639337566475886,US
1935-01-31,11.495907968201596,US
1935-02-28,11.087812159055565,US
1935-03-31,10.398272404790031,US
1935-04-30,11.104210207149524,US
1935-05-31,11.985576683480101,US
1935-06-30,12.539519324443896,US
